NUTS_3,LAU1_NAT_CODE,LAU1_NAME,CHANGE,LAU2_NAT_CODE,NAME_1,NAME_2_LAT,POP,AREA
DK013,201,Allerød,no,7450,Lillerød Sogn,,9929,9100000
DK013,223,Hørsholm,no,7451,Hørsholm Sogn,,12354,8900000
DK013,210,Fredensborg,no,7452,Karlebo Sogn,,19412,40000000
DK013,250,Frederikssund,no,7453,Gerlev Sogn,,1748,18500000
DK013,250,Frederikssund,no,7454,Draaby Sogn,,4708,19900000
DK013,250,Frederikssund,no,7455,Skibby Sogn,,3432,14800000
DK013,250,Frederikssund,no,7456,Ferslev Sogn,,1111,25800000
DK013,250,Frederikssund,no,7457,Vellerup Sogn,,436,3100000
DK013,250,Frederikssund,no,7458,Skuldelev Sogn,,1344,16400000
DK013,250,Frederikssund,no,7459,Selsø Sogn,,710,18900000
DK013,250,Frederikssund,no,7460,Kyndby Sogn,,727,9600000
DK013,250,Frederikssund,no,7461,Krogstrup Sogn,,1040,17200000
DK022,370,Næstved,no,7462,Næsby Sogn,,348,12500000
DK022,370,Næstved,no,7463,Tyvelse Sogn,,290,7700000
