NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,,,,,,,,,,,,,,,,,DEGURBA,COASTAL,URAU_CITY_ID,URAU_CITY_NAME,URAU_KERNEL_ID,URAU_KERNEL_NAME,URAU_FUA_ID,URAU_FUA_NAME,GRD_POPL,URB_CLST_GRD_POPL,HDENS_CLST_GRD_POPL
IE021,01,02031,no,Cabra East B,Cabra East B,n.a,44000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02032,no,Cabra East C,Cabra East C,n.a,46000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02033,no,Cabra West A,Cabra West A,n.a,49000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02034,no,Cabra West B,Cabra West B,n.a,43000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02035,no,Cabra West C,Cabra West C,n.a,57000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02036,no,Cabra West D,Cabra West D,n.a,60000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02037,no,Clontarf East A,Clontarf East A,n.a,211000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02038,no,Clontarf East B,Clontarf East B,n.a,348000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02039,no,Clontarf East C,Clontarf East C,n.a,83000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02040,no,Clontarf East D,Clontarf East D,n.a,66000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02041,no,Clontarf East E,Clontarf East E,n.a,42000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02042,no,Clontarf West A,Clontarf West A,n.a,72000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02043,no,Clontarf West B,Clontarf West B,n.a,43000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02044,no,Clontarf West C,Clontarf West C,n.a,104000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02045,no,Clontarf West D,Clontarf West D,n.a,82000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02046,no,Clontarf West E,Clontarf West E,n.a,33000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02047,no,Drumcondra South A,Drumcondra South A,n.a,105000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02048,no,Drumcondra South B,Drumcondra South B,n.a,34000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02049,no,Drumcondra South C,Drumcondra South C,n.a,76000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02050,no,Edenmore,Edenmore,n.a,60000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02051,no,Finglas North A,Finglas North A,n.a,73000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02052,no,Finglas North B,Finglas North B,n.a,65000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02053,no,Finglas North C,Finglas North C,n.a,108000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02054,no,Finglas South A,Finglas South A,n.a,60000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02055,no,Finglas South B,Finglas South B,n.a,97000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02056,no,Finglas South C,Finglas South C,n.a,36000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02057,no,Finglas South D,Finglas South D,n.a,44000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02058,no,Grace Park,Grace Park,n.a,125000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02059,no,Grange A,Grange A,n.a,164000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02060,no,Grange B,Grange B,n.a,117000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02061,no,Grange C,Grange C,n.a,45000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02062,no,Grange D,Grange D,n.a,67000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02063,no,Grange E,Grange E,n.a,54000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02064,no,Harmonstown A,Harmonstown A,n.a,65000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02065,no,Harmonstown B,Harmonstown B,n.a,54000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02066,no,Inns Quay A,Inns Quay A,n.a,32000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02067,no,Inns Quay B,Inns Quay B,n.a,28000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02068,no,Inns Quay C,Inns Quay C,n.a,28000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02069,no,Kilmore A,Kilmore A,n.a,83000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02070,no,Kilmore B,Kilmore B,n.a,46000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02071,no,Kilmore C,Kilmore C,n.a,53000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02072,no,Kilmore D,Kilmore D,n.a,50000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02073,no,Mountjoy A,Mountjoy A,n.a,29000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02074,no,Mountjoy B,Mountjoy B,n.a,23000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02075,no,North City,North City,n.a,56000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02076,no,North Dock A,North Dock A,n.a,15000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02077,no,North Dock B,North Dock B,n.a,336000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02078,no,North Dock C,North Dock C,n.a,63000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02079,no,Phoenix Park,Phoenix Park,n.a,739000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02080,no,Priorswood A,Priorswood A,n.a,174000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02081,no,Priorswood B,Priorswood B,n.a,43000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02082,no,Priorswood C,Priorswood C,n.a,87000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02083,no,Priorswood D,Priorswood D,n.a,82000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
IE021,01,02084,no,Priorswood E,Priorswood E,n.a,40000,,,,,,,,,,,,,,,,,1,,,,,,,,,,
