NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,NAME_1,NAME_2_LAT,POP,AREA,
HR036,,02224,no,Labin,Labin,6884,n.a.,
HR036,,02232,no,Lanišće,Lanišće,327,n.a.,
HR04D,,02259,no,Lasinja,Lasinja,1672,n.a.,
HR037,,02267,no,Lastovo,Lastovo,792,n.a.,
HR045,,02275,no,Legrad,Legrad,2185,n.a.,
HR04E,,02283,no,Lekenik,Lekenik,6043,n.a.,
HR044,,02291,no,Lepoglava,Lepoglava,4164,n.a.,
HR04B,,02305,no,Levanjska Varoš,Levanjska Varoš,1196,n.a.,
HR049,,02313,no,Lipik,Lipik,2257,n.a.,
HR04E,,02321,no,Lipovljani,Lipovljani,3466,n.a.,
HR033,,02348,no,Lišane Ostrovičke,Lišane Ostrovičke,714,n.a.,
HR036,,02356,no,Ližnjan - Lisignano,Ližnjan - Lisignano,3916,n.a.,
HR043,,02364,no,Lobor,Lobor,3217,n.a.,
HR031,,02372,no,Lokve,Lokve,1047,n.a.,
HR04C,,02399,no,Lovas,Lovas,1217,n.a.,
HR032,,02402,no,Lovinac,Lovinac,1017,n.a.,
HR031,,02429,no,Lovran,Lovran,4056,n.a.,
HR035,,02437,no,Lovreć,Lovreć,1712,n.a.,
HR044,,02445,no,Ludbreg,Ludbreg,3594,n.a.,
HR048,,02453,no,Lukač,Lukač,3646,n.a.,
HR036,,02461,no,Lupoglav,Lupoglav,935,n.a.,
HR044,,02470,no,Ljubešćica,Ljubešćica,1859,n.a.,
HR043,,02488,no,Mače,Mače,2542,n.a.,
HR035,,02496,no,Makarska,Makarska,13504,n.a.,
HR046,,02500,no,Mala Subotica,Mala Subotica,5463,n.a.,
HR044,,02518,no,Mali Bukovec,Mali Bukovec,2215,n.a.,
HR031,,02526,no,Mali Lošinj,Mali Lošinj,5990,n.a.,
HR031,,02534,no,Malinska-Dubašnica,Malinska-Dubašnica,3142,n.a.,
HR036,,02542,no,Marčana,Marčana,4260,n.a.,
HR043,,02569,no,Marija Bistrica,Marija Bistrica,5954,n.a.,
HR04B,,02577,no,Marijanci,Marijanci,2402,n.a.,
HR035,,02585,no,Marina,Marina,4597,n.a.,
HR04E,,02593,no,Martinska Ves,Martinska Ves,3501,n.a.,
HR044,,02607,no,Maruševec,Maruševec,6379,n.a.,
HR031,,02615,no,Matulji,Matulji,11274,n.a.,
HR036,,02631,no,Medulin,Medulin,6552,n.a.,
HR037,,02640,no,Metković,Metković,15056,n.a.,
HR043,,02658,no,Mihovljan,Mihovljan,1949,n.a.,
HR048,,02666,no,Mikleuš,Mikleuš,1419,n.a.,
HR035,,02674,no,Milna,Milna,1009,n.a.,
HR037,,02682,no,Mljet,Mljet,1081,n.a.,
HR045,,02704,no,Molve,Molve,2194,n.a.,
HR04B,,02712,no,Podravska Moslavina,Podravska Moslavina,1186,n.a.,
HR031,,02739,no,Mošćenička Draga,Mošćenička Draga,1536,n.a.,
HR036,,02747,no,Motovun - Montona,Motovun - Montona,1001,n.a.,
HR031,,02755,no,Mrkopalj,Mrkopalj,1208,n.a.,
