Jurisd,Local name,Lang,English Name,Count,Register,Notation,Code,Parent code,,,,
FR,Profession libérale,,,1197593,,,,,,,,
FR,Société à responsabilité limitée (sans autre indication),,,1108191,,,,,,,,
FR,Association déclarée,,,817347,,,,,,,,
FR,Artisan,,,653847,,,,,,,,
FR,Commerçant,,,606340,,,,,,,,
FR,Autre entrepreneur individuel,,,517616,,,,,,,,
FR,Exploitant agricole,,,497381,,,,,,,,
FR,SARL unipersonnelle,,,421881,,,,,,,,
FR,"SAS, société par actions simplifiée",,,315691,,,,,,,,
FR,Société à responsabilité limitée,,,244139,,,,,,,,
FR,Autre société civile,,,239646,,,,,,,,
FR,Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle,,,221984,,,,,,,,
FR,Artisan-commerçant,,,203895,,,,,,,,
FR,Syndicat de copropriété,,,157272,,,,,,,,
FR,Société à responsabilité limitée à associé unique,,,97039,,,,,,,,
FR,Exploitation agricole à responsabilité limitée,,,85996,,,,,,,,
FR,Société étrangère non immatriculée au RCS,,,59448,,,,,,,,
FR,Indivision entre personnes physiques,,,49867,,,,,,,,
FR,Société en nom collectif,,,48227,,,,,,,,
FR,Societe a responsabilite limitee,,,46716,,,,,,,,
FR,Groupement agricole d'exploitation en commun (GAEC),,,46353,,,,,,,,
FR,Société civile immobilière de construction-vente,,,44647,,,,,,,,
FR,Société civile de moyens,,,39868,,,,,,,,
FR,Commune,,,35937,,,,,,,,
FR,Société d'exercice libéral à responsabilité limitée,,,30898,,,,,,,,
FR,Société civile d'exploitation agricole,,,30391,,,,,,,,
FR,Groupement foncier agricole,,,29181,,,,,,,,
FR,SA à conseil d'administration (s.a.i.),,,28176,,,,,,,,
FR,Centre communal d'action sociale,,,25793,,,,,,,,
FR,Societe a responsabilite limitee a associe unique,,,21851,,,,,,,,
FR,Société par actions simplifiée,,,21850,,,,,,,,
FR,"Association de droit local (Bas-Rhin, Haut-Rhin et Moselle)",,,20955,,,,,,,,
FR,Société créée de fait entre personnes physiques,,,20426,,,,,,,,
FR,Autre groupement de droit privé non doté de la personnalité morale,,,18934,,,,,,,,
FR,Société par actions simplifiée à associé unique,,,14705,,,,,,,,
FR,Société commerciale étrangère immatriculée au RCS,,,13674,,,,,,,,
FR,Coopérative d'utilisation de matériel agricole en commun (CUMA),,,13581,,,,,,,,
FR,Groupement d'intérêt économique (GIE),,,8363,,,,,,,,
FR,Établissement public local d'enseignement,,,7996,,,,,,,,
FR,Groupement forestier,,,7841,,,,,,,,
FR,Syndicat intercommunal à vocation unique (SIVU),,,7510,,,,,,,,
FR,Société anonyme,,,7243,,,,,,,,
FR,Societe par actions simplifiee,,,7183,,,,,,,,
FR,Societe par actions simplifiee a associe unique,,,6919,,,,,,,,
FR,Association foncière de remembrement,,,6893,,,,,,,,
FR,Groupement d'employeurs,,,6768,,,,,,,,
FR,Caisse des écoles,,,5801,,,,,,,,
FR,Association syndicale autorisée,,,5488,,,,,,,,
FR,Syndicat de salariés,,,4011,,,,,,,,
FR,Syndicat patronal,,,3904,,,,,,,,
FR,Comité central d'entreprise,,,3710,,,,,,,,
FR,Societe en nom collectif,,,3016,,,,,,,,
FR,Association syndicale libre,,,2780,,,,,,,,
FR,Société à responsabilité limitée à capital variable,,,2726,,,,,,,,
