GDEKT	NUTS_3	LAU1	NAME1	NAME_DE	NAME_FR	NAME_IT
AG	CH033	1904	Bezirk Brugg	Bezirk Brugg	Bezirk Brugg	Bezirk Brugg
AG	CH033	1905	Bezirk Kulm	Bezirk Kulm	Bezirk Kulm	Bezirk Kulm
AG	CH033	1906	Bezirk Laufenburg	Bezirk Laufenburg	Bezirk Laufonburg	Bezirk Laufenburg
AG	CH033	1907	Bezirk Lenzburg	Bezirk Lenzburg	Bezirk Lenzburg	Bezirk Lenzburg
AG	CH033	1908	Bezirk Muri	Bezirk Muri	Bezirk Muri	Bezirk Muri
AG	CH033	1909	Bezirk Rheinfelden	Bezirk Rheinfelden	Bezirk Rheinfelden	Bezirk Rheinfelden
AG	CH033	1910	Bezirk Zofingen	Bezirk Zofingen	Bezirk Zofingue	Bezirk Zofingen
AG	CH033	1911	Bezirk Zurzach	Bezirk Zurzach	Bezirk Zurzach	Bezirk Zurzach
TG	CH057	2011	Bezirk Arbon	Bezirk Arbon	Bezirk Arbon	Bezirk Arbon
TG	CH057	2012	Bezirk Frauenfeld	Bezirk Frauenfeld	Bezirk Frauenfeld	Bezirk Frauenfeld
TG	CH057	2013	Bezirk Kreuzlingen	Bezirk Kreuzlingen	Bezirk Kreuzlingen	Bezirk Kreuzlingen
TG	CH057	2014	Bezirk Münchwilen	Bezirk Münchwilen	Bezirk Münchwilen	Bezirk Münchwilen
TG	CH057	2015	Bezirk Weinfelden	Bezirk Weinfelden	Bezirk Weinfelden	Bezirk Weinfelden
TI	CH070	2101	Distretto di Bellinzona	Distretto di Bellinzona	Distretto di Bellinzone	Distretto di Bellinzona
TI	CH070	2102	Distretto di Blenio	Distretto di Blenio	Distretto di Blenio	Distretto di Blenio
TI	CH070	2103	Distretto di Leventina	Distretto di Leventina	Distretto di Leventina	Distretto di Leventina
TI	CH070	2104	Distretto di Locarno	Distretto di Locarno	Distretto di Locarno	Distretto di Locarno
TI	CH070	2105	Distretto di Lugano	Distretto di Lugano	Distretto di Lugano	Distretto di Lugano
TI	CH070	2106	Distretto di Mendrisio	Distretto di Mendrisio	Distretto di Mendrisio	Distretto di Mendrisio
TI	CH070	2107	Distretto di Riviera	Distretto di Riviera	Distretto di Riviera	Distretto di Riviera
TI	CH070	2108	Distretto di Vallemaggia	Distretto di Vallemaggia	Distretto di Vallemaggia	Distretto di Vallemaggia
VD	CH011	2221	District d'Aigle	District d'Aigle	District d'Aigle	District d'Aigle
VD	CH011	2222	District de la Broye-Vully	District de la Broye-Vully	District de la Broye-Vully	District de la Broye-Vully
VD	CH011	2223	District du Gros-de-Vaud	District du Gros-de-Vaud	District du Gros-de-Vaud	District du Gros-de-Vaud
VD	CH011	2224	District du Jura-Nord vaudois	District du Jura-Nord vaudois	District du Jura-Nord vaudois	District du Jura-Nord vaudois
VD	CH011	2225	District de Lausanne	District de Lausanne	District de Lausanne	District de Losanna
VD	CH011	2226	District de Lavaux-Oron	District de Lavaux-Oron	District de Lavaux-Oron	District de Lavaux-Oron
VD	CH011	2227	District de Morges	District de Morges	District de Morges	District de Morges
VD	CH011	2228	District de Nyon	District de Nyon	District de Nyon	District de Nyon
VD	CH011	2229	District de l'Ouest lausannois	District de l'Ouest lausannois	District de l'Ouest lausannois	District de l'Ouest lausannois
VD	CH011	2230	District de la Riviera-Pays-d'Enhaut	District de la Riviera-Pays-d'Enhaut	District de la Riviera-Pays-d'Enhaut	District de la Riviera-Pays-d'Enhaut
VS	CH012	2301	Bezirk Brig	Bezirk Brig	Bezirk Brig	Bezirk Brig
VS	CH012	2302	District de Conthey	District de Conthey	District de Conthey	District de Conthey
VS	CH012	2303	District d'Entremont	District d'Entremont	District d'Entremont	District d'Entremont
VS	CH012	2304	Bezirk Goms	Bezirk Goms	Bezirk Goms	Bezirk Goms
VS	CH012	2305	District d'Hérens	District d'Hérens	District d'Hérens	District d'Hérens
VS	CH012	2306	Bezirk Leuk	Bezirk Leuk	Bezirk Loèche-Ville	Bezirk Leuk
VS	CH012	2307	District de Martigny	District de Martigny	District de Martigny	District de Martigny
VS	CH012	2308	District de Monthey	District de Monthey	District de Monthey	District de Monthey
VS	CH012	2309	Bezirk Raron	Bezirk Raron	Bezirk Rarogne	Bezirk Raron
VS	CH012	2310	District de Saint-Maurice	District de Saint-Maurice	District de Saint-Maurice	District de Saint-Maurice
VS	CH012	2311	District de Sierre	District de Siders	District de Sierre	District de Sierre
VS	CH012	2312	District de Sion	District de Sitten	District de Sion	District de Sion
VS	CH012	2313	Bezirk Visp	Bezirk Visp	Bezirk Viège	Bezirk Visp
NE	CH024	2401	District de Boudry	District de Boudry	District de Boudry	District de Boudry
NE	CH024	2402	District de la Chaux-de-Fonds	District de la Chaux-de-Fonds	District de la Chaux-de-Fonds	District de la Chaux-de-Fonds
NE	CH024	2403	District du Locle	District du Locle	District du Locle	District du Locle
NE	CH024	2404	District de Neuchâtel	District de Neuenburg	District de Neuchâtel	District de Neuchâtel
NE	CH024	2405	District du Val-de-Ruz	District du Val-de-Ruz	District du Val-de-Ruz	District du Val-de-Ruz
NE	CH024	2406	District du Val-de-Travers	District du Val-de-Travers	District du Val-de-Travers	District du Val-de-Travers
GE	CH013	2500	Canton de Genève	Canton de Genf	Canton de Genève	Canton de Ginevra
JU	CH025	2601	District de Delémont	District de Delsberg	District de Delémont	District de Delémont
JU	CH025	2602	District des Franches-Montagnes	District des Franches-Montagnes	District des Franches-Montagnes	District des Franches-Montagnes
JU	CH025	2603	District de Porrentruy	District de Pruntrut	District de Porrentruy	District de Porrentruy
